iter	Passed	Remaining
0	2	225
1	4	198
2	5	184
3	6	167
4	8	159
5	10	158
6	12	162
7	14	164
8	16	162
9	17	157
10	18	152
11	20	148
12	21	145
13	23	145
14	25	145
15	27	143
16	28	141
17	30	138
18	32	136
19	33	133
20	35	132
21	36	130
22	38	129
23	40	127
24	42	126
25	43	123
26	45	122
27	47	121
28	49	120
29	50	118
30	52	117
31	54	115
32	55	113
33	57	111
34	59	111
35	61	109
36	63	107
37	65	106
38	66	104
39	68	102
40	69	100
41	70	98
42	73	96
43	75	95
44	76	94
45	78	92
46	80	90
47	81	88
48	83	87
49	85	85
50	87	83
51	88	82
52	90	80
53	92	78
54	92	76
55	95	74
56	96	73
57	98	71
58	100	69
59	101	67
60	103	66
61	105	64
62	107	63
63	109	61
64	111	59
65	112	58
66	114	56
67	116	54
68	117	52
69	119	51
70	121	49
71	123	48
72	125	46
73	126	44
74	128	42
75	130	41
76	131	39
77	133	37
78	135	36
79	137	34
80	139	32
81	141	31
82	143	29
83	144	27
84	147	25
85	148	24
86	150	22
87	151	20
88	153	18
89	155	17
90	156	15
91	158	13
92	160	12
93	162	10
94	163	8
95	165	6
96	167	5
97	169	3
98	170	1
99	172	0
