iter	Passed	Remaining
0	111	111654
1	115	57623
2	119	39850
3	123	30796
4	127	25348
5	130	21625
6	134	19030
7	135	16783
8	139	15380
9	141	13995
10	144	13010
11	147	12182
12	149	11373
13	151	10638
14	152	9987
15	153	9435
16	155	9018
17	159	8677
18	161	8331
19	162	7962
20	163	7631
21	165	7375
22	168	7151
23	171	6970
24	172	6741
25	174	6520
26	175	6313
27	176	6123
28	178	5967
29	181	5856
30	184	5759
31	185	5611
32	186	5472
33	187	5336
34	188	5210
35	191	5128
36	194	5065
37	197	4996
38	198	4884
39	199	4776
40	199	4673
41	200	4575
42	202	4509
43	205	4470
44	209	4436
45	210	4359
46	211	4287
47	212	4215
48	213	4148
49	215	4090
50	216	4031
51	217	3967
52	219	3920
53	222	3896
54	225	3871
55	227	3829
56	228	3775
57	229	3724
58	230	3679
59	233	3651
60	235	3630
61	238	3606
62	239	3568
63	240	3521
64	241	3475
65	242	3430
66	243	3392
67	246	3377
68	249	3367
69	252	3351
70	253	3316
71	255	3289
72	256	3258
73	258	3229
74	261	3221
75	264	3213
76	266	3191
77	267	3164
78	268	3133
79	269	3104
80	272	3088
81	275	3083
82	277	3069
83	279	3045
84	280	3020
85	281	2993
86	282	2968
87	286	2964
88	288	2958
89	291	2946
90	293	2932
91	294	2909
92	296	2889
93	299	2887
94	302	2883
95	305	2878
96	306	2855
97	307	2833
98	309	2819
99	312	2816
100	315	2811
101	317	2792
102	318	2770
103	319	2751
104	320	2731
105	322	2716
106	325	2712
107	327	2708
108	329	2696
109	331	2678
110	332	2659
111	333	2641
112	334	2624
113	337	2622
114	340	2623
115	342	2613
116	343	2595
117	345	2580
118	346	2565
119	348	2558
120	351	2556
121	354	2550
122	356	2538
123	357	2522
124	358	2507
125	359	2490
126	360	2479
127	365	2487
128	368	2487
129	369	2472
130	370	2460
131	375	2470
132	380	2477
133	383	2478
134	384	2466
135	386	2456
136	389	2454
137	392	2453
138	395	2452
139	397	2440
140	398	2426
141	399	2411
142	402	2410
143	405	2410
144	408	2407
145	409	2394
146	410	2383
147	415	2390
148	419	2394
149	421	2388
150	422	2377
151	423	2365
152	425	2358
153	430	2362
154	433	2361
155	434	2353
156	436	2341
157	437	2331
158	439	2324
159	442	2321
160	444	2317
161	446	2310
162	448	2301
163	449	2292
164	451	2283
165	454	2285
166	458	2285
167	461	2286
168	463	2277
169	465	2272
170	468	2271
171	471	2269
172	474	2266
173	475	2255
174	476	2246
175	479	2245
176	482	2245
177	485	2239
178	486	2230
179	487	2220
180	488	2210
181	491	2207
182	494	2206
183	497	2205
184	498	2196
185	499	2186
186	500	2177
187	501	2167
188	504	2164
189	507	2162
190	510	2161
191	511	2153
192	512	2144
193	513	2134
194	515	2126
195	516	2118
196	519	2116
197	521	2114
198	524	2109
199	525	2100
200	526	2091
201	527	2083
202	528	2076
203	531	2073
204	534	2072
205	536	2067
206	537	2058
207	538	2049
208	539	2041
209	540	2032
210	541	2024
211	544	2023
212	547	2022
213	549	2019
214	551	2013
215	552	2006
216	554	1999
217	556	1995
218	559	1995
219	562	1994
220	564	1988
221	565	1980
222	566	1972
223	567	1965
224	569	1961
225	571	1958
226	577	1965
227	578	1958
228	579	1951
229	580	1943
230	582	1938
231	584	1935
232	587	1934
233	589	1929
234	591	1926
235	593	1922
236	596	1921
237	600	1923
238	605	1928
239	611	1935
240	612	1928
241	613	1922
242	615	1917
243	616	1910
244	617	1904
245	618	1896
246	619	1889
247	620	1882
248	621	1875
249	624	1872
250	627	1871
251	629	1868
252	632	1868
253	636	1868
254	637	1863
255	638	1856
256	641	1855
257	644	1853
258	647	1851
259	648	1845
260	649	1839
261	652	1836
262	655	1836
263	657	1832
264	658	1825
265	659	1819
266	660	1813
267	663	1811
268	665	1807
269	666	1801
270	667	1795
271	668	1789
272	669	1783
273	670	1777
274	671	1771
275	672	1765
276	673	1759
277	675	1753
278	678	1752
279	680	1750
280	682	1747
281	683	1741
282	684	1735
283	685	1729
284	687	1724
285	689	1720
286	690	1714
287	691	1710
288	694	1709
289	698	1709
290	699	1704
291	700	1699
292	703	1696
293	706	1695
294	709	1694
295	710	1689
296	711	1683
297	712	1678
298	713	1672
299	714	1667
300	717	1665
301	720	1664
302	722	1662
303	723	1656
304	724	1651
305	726	1646
306	727	1641
307	728	1636
308	735	1643
309	738	1643
310	740	1639
311	741	1635
312	743	1632
313	747	1632
314	750	1631
315	752	1628
316	753	1622
317	755	1620
318	758	1618
319	761	1618
320	764	1616
321	765	1611
322	766	1606
323	767	1602
324	769	1598
325	772	1597
326	775	1596
327	777	1593
328	779	1589
329	780	1584
330	782	1580
331	785	1580
332	788	1580
333	791	1577
334	792	1573
335	793	1568
336	796	1567
337	800	1567
338	803	1566
339	804	1561
340	805	1556
341	808	1555
342	811	1554
343	814	1553
344	815	1548
345	817	1544
346	818	1539
347	819	1534
348	820	1531
349	823	1530
350	827	1530
351	829	1527
352	832	1525
353	833	1520
354	836	1519
355	839	1518
356	841	1516
357	843	1511
358	844	1507
359	845	1502
360	847	1499
361	850	1498
362	853	1498
363	855	1495
364	857	1490
365	857	1486
366	859	1482
367	862	1481
368	865	1480
369	868	1478
370	869	1474
371	870	1470
372	873	1467
373	878	1470
374	881	1469
375	882	1465
376	883	1460
377	885	1456
378	886	1453
379	890	1452
380	893	1451
381	894	1447
382	896	1443
383	897	1439
384	901	1440
385	904	1438
386	907	1436
387	908	1432
388	909	1428
389	911	1424
390	914	1423
391	917	1422
392	920	1421
393	921	1417
394	922	1413
395	923	1408
396	924	1404
397	928	1404
398	931	1403
399	934	1401
400	935	1397
401	936	1393
402	940	1392
403	943	1391
404	945	1389
405	947	1385
406	948	1382
407	949	1378
408	950	1374
409	952	1369
410	953	1366
411	954	1362
412	955	1358
413	956	1354
414	957	1350
415	958	1346
416	959	1341
417	960	1337
418	962	1334
419	963	1330
420	965	1327
421	967	1325
422	970	1324
423	972	1320
424	973	1316
425	974	1313
426	975	1308
427	977	1305
428	979	1304
429	982	1302
430	984	1299
431	985	1296
432	986	1292
433	987	1288
434	988	1284
435	991	1281
436	994	1280
437	997	1279
438	998	1275
439	999	1271
440	1000	1267
441	1001	1264
442	1003	1261
443	1007	1261
444	1010	1260
445	1012	1257
446	1013	1253
447	1014	1249
448	1015	1245
449	1016	1242
450	1019	1241
451	1022	1239
452	1024	1236
453	1025	1233
454	1026	1229
455	1027	1225
456	1028	1222
457	1031	1221
458	1034	1219
459	1037	1218
460	1038	1214
461	1039	1210
462	1041	1207
463	1043	1205
464	1046	1203
465	1050	1203
466	1051	1199
467	1052	1196
468	1053	1192
469	1054	1189
470	1058	1188
471	1062	1188
472	1064	1185
473	1065	1181
474	1066	1178
475	1067	1174
476	1068	1171
477	1070	1168
478	1073	1167
479	1076	1166
480	1078	1163
481	1079	1159
482	1080	1156
483	1081	1153
484	1084	1151
485	1088	1150
486	1090	1148
487	1092	1146
488	1094	1143
489	1095	1140
490	1099	1139
491	1102	1138
492	1104	1135
493	1105	1132
494	1106	1128
495	1107	1125
496	1110	1123
497	1113	1122
498	1116	1120
499	1117	1117
500	1118	1114
501	1120	1111
502	1122	1109
503	1125	1107
504	1128	1106
505	1129	1103
506	1131	1099
507	1132	1096
508	1133	1093
509	1134	1090
510	1137	1088
511	1140	1087
512	1142	1084
513	1143	1081
514	1144	1078
515	1145	1074
516	1147	1072
517	1151	1071
518	1154	1069
519	1155	1066
520	1156	1063
521	1157	1060
522	1158	1056
523	1160	1054
524	1163	1052
525	1166	1050
526	1167	1048
527	1168	1044
528	1170	1041
529	1171	1038
530	1172	1035
531	1175	1033
532	1177	1032
533	1180	1029
534	1181	1026
535	1182	1023
536	1183	1020
537	1187	1020
538	1189	1017
539	1190	1013
540	1191	1010
541	1192	1007
542	1193	1004
543	1194	1001
544	1195	998
545	1196	995
546	1197	991
547	1198	988
548	1200	986
549	1204	985
550	1207	984
551	1209	981
552	1210	978
553	1211	975
554	1212	972
555	1214	969
556	1217	968
557	1221	967
558	1222	964
559	1223	961
560	1224	958
561	1225	955
562	1227	952
563	1228	949
564	1229	946
565	1230	943
566	1231	940
567	1232	937
568	1233	934
569	1234	931
570	1235	928
571	1236	925
572	1237	922
573	1238	919
574	1240	916
575	1243	915
576	1246	914
577	1249	912
578	1251	910
579	1255	909
580	1258	907
581	1261	906
582	1263	903
583	1264	900
584	1267	899
585	1269	896
586	1271	894
587	1275	893
588	1277	891
589	1278	888
590	1281	886
591	1284	885
592	1287	883
593	1292	883
594	1293	880
595	1294	877
596	1296	874
597	1296	871
598	1298	868
599	1299	866
600	1302	865
601	1305	863
602	1306	860
603	1308	858
604	1312	856
605	1315	855
606	1316	852
607	1321	851
608	1322	848
609	1323	846
610	1324	843
611	1325	840
612	1327	837
613	1331	836
614	1332	833
615	1333	831
616	1334	828
617	1337	826
618	1340	825
619	1343	823
620	1344	820
621	1345	817
622	1346	814
623	1347	812
624	1349	809
625	1352	808
626	1356	806
627	1357	804
628	1359	801
629	1360	798
630	1362	796
631	1365	795
632	1369	794
633	1371	791
634	1372	788
635	1373	786
636	1375	783
637	1378	782
638	1381	780
639	1383	777
640	1384	775
641	1386	772
642	1387	770
643	1388	767
644	1389	764
645	1390	762
646	1391	759
647	1392	756
648	1393	753
649	1395	751
650	1396	748
651	1397	745
652	1398	743
653	1399	740
654	1400	737
655	1402	735
656	1405	733
657	1408	731
658	1411	730
659	1413	728
660	1414	725
661	1415	722
662	1418	720
663	1421	719
664	1424	717
665	1425	714
666	1426	712
667	1427	709
668	1428	706
669	1430	704
670	1433	702
671	1436	701
672	1438	698
673	1439	696
674	1440	693
675	1441	690
676	1443	688
677	1446	687
678	1449	685
679	1450	682
680	1451	680
681	1453	677
682	1454	674
683	1455	672
684	1458	670
685	1460	668
686	1463	666
687	1464	664
688	1465	661
689	1466	658
690	1467	656
691	1469	654
692	1472	652
693	1475	650
694	1476	648
695	1477	645
696	1478	642
697	1480	640
698	1481	637
699	1483	635
700	1486	634
701	1489	632
702	1490	629
703	1491	627
704	1492	624
705	1493	621
706	1495	619
707	1498	617
708	1501	616
709	1502	613
710	1503	611
711	1504	608
712	1506	606
713	1507	603
714	1508	601
715	1511	599
716	1514	597
717	1516	595
718	1517	592
719	1518	590
720	1519	587
721	1520	585
722	1522	583
723	1525	581
724	1528	579
725	1529	577
726	1530	574
727	1531	572
728	1532	569
729	1534	567
730	1537	565
731	1540	564
732	1541	561
733	1543	559
734	1544	556
735	1545	554
736	1548	552
737	1551	550
738	1554	548
739	1555	546
740	1556	544
741	1557	541
742	1558	539
743	1559	536
744	1562	534
745	1566	533
746	1569	531
747	1571	529
748	1572	527
749	1574	524
750	1577	523
751	1580	521
752	1582	519
753	1583	516
754	1584	514
755	1586	511
756	1588	509
757	1591	508
758	1594	506
759	1595	503
760	1596	501
761	1597	499
762	1598	496
763	1600	494
764	1603	492
765	1606	490
766	1608	488
767	1609	486
768	1610	483
769	1611	481
770	1612	478
771	1613	476
772	1614	474
773	1615	471
774	1616	469
775	1618	467
776	1619	464
777	1620	462
778	1621	459
779	1622	457
780	1623	455
781	1624	452
782	1625	450
783	1626	448
784	1628	446
785	1631	444
786	1633	442
787	1635	440
788	1636	437
789	1637	435
790	1638	433
791	1640	430
792	1642	428
793	1645	426
794	1647	424
795	1649	422
796	1650	420
797	1651	417
798	1652	415
799	1653	413
800	1655	411
801	1658	409
802	1661	407
803	1662	405
804	1663	403
805	1664	400
806	1666	398
807	1667	396
808	1668	393
809	1669	391
810	1670	389
811	1671	387
812	1672	384
813	1674	382
814	1675	380
815	1676	377
816	1677	375
817	1678	373
818	1679	371
819	1681	369
820	1683	366
821	1684	364
822	1685	362
823	1686	360
824	1687	358
825	1688	355
826	1690	353
827	1691	351
828	1692	349
829	1693	346
830	1694	344
831	1695	342
832	1697	340
833	1698	337
834	1699	335
835	1700	333
836	1701	331
837	1702	329
838	1703	326
839	1704	324
840	1705	322
841	1706	320
842	1707	318
843	1708	315
844	1709	313
845	1711	311
846	1713	309
847	1714	307
848	1715	305
849	1717	303
850	1718	300
851	1719	298
852	1720	296
853	1722	294
854	1723	292
855	1724	290
856	1725	287
857	1727	285
858	1728	283
859	1731	281
860	1732	279
861	1733	277
862	1734	275
863	1735	273
864	1736	271
865	1738	268
866	1739	266
867	1742	264
868	1743	262
869	1745	260
870	1747	258
871	1748	256
872	1749	254
873	1750	252
874	1751	250
875	1752	248
876	1753	245
877	1755	243
878	1757	241
879	1758	239
880	1759	237
881	1760	235
882	1761	233
883	1762	231
884	1764	229
885	1765	227
886	1766	225
887	1767	222
888	1768	220
889	1770	218
890	1773	216
891	1775	214
892	1776	212
893	1777	210
894	1778	208
895	1779	206
896	1780	204
897	1782	202
898	1784	200
899	1787	198
900	1788	196
901	1789	194
902	1790	192
903	1791	190
904	1792	188
905	1793	186
906	1795	184
907	1796	181
908	1797	179
909	1800	178
910	1803	176
911	1805	174
912	1809	172
913	1810	170
914	1813	168
915	1815	166
916	1817	164
917	1818	162
918	1819	160
919	1820	158
920	1821	156
921	1822	154
922	1824	152
923	1827	150
924	1830	148
925	1834	146
926	1836	144
927	1840	142
928	1842	140
929	1843	138
930	1844	136
931	1845	134
932	1846	132
933	1848	130
934	1849	128
935	1851	126
936	1855	124
937	1858	122
938	1862	121
939	1865	119
940	1868	117
941	1870	115
942	1872	113
943	1873	111
944	1875	109
945	1882	107
946	1887	105
947	1889	103
948	1892	101
949	1894	99
950	1896	97
951	1897	95
952	1898	93
953	1899	91
954	1900	89
955	1904	87
956	1906	85
957	1909	83
958	1911	81
959	1915	79
960	1920	77
961	1921	75
962	1924	73
963	1927	71
964	1929	69
965	1931	67
966	1932	65
967	1934	63
968	1937	61
969	1940	60
970	1942	58
971	1944	56
972	1947	54
973	1949	52
974	1950	50
975	1951	47
976	1952	45
977	1953	43
978	1956	41
979	1958	39
980	1960	37
981	1961	35
982	1962	33
983	1963	31
984	1964	29
985	1965	27
986	1966	25
987	1967	23
988	1969	21
989	1972	19
990	1973	17
991	1975	15
992	1976	13
993	1977	11
994	1978	9
995	1979	7
996	1980	5
997	1981	3
998	1983	1
999	1985	0
